Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Heagy, Connor",JR-3,4:39.28,Dutch Athletic Classic,"Jan 17, 2025"
,"Ouhabi, Nick",FR-1,4:50.59,Dutch Athletic Classic,"Jan 17, 2025"
,"Lee, Justin",FR-1,4:51.17,Dutch Athletic Classic,"Jan 17, 2025"
,"Massey, Jackson",FR-1,4:52.92,Dutch Athletic Classic,"Jan 17, 2025"
,"Block, Owen",SO-2,4:53.47,Grinnell Opener Invite,"Dec 6, 2024"
,"In, David",FR-1,4:55.44,Dutch Athletic Classic,"Jan 17, 2025"
,"Michaelson, Aidan",FR-1,4:59.84,Dutch Athletic Classic,"Jan 17, 2025"
,"Williams, Carter",SR-4,5:01.24,Dutch Athletic Classic,"Jan 17, 2025"
,"Pollock, Alexander",SO-2,5:07.98,Dutch Athletic Classic,"Jan 17, 2025"
,"Jedlicka, Max",FR-1,5:08.65,Dutch Athletic Classic,"Jan 17, 2025"
,"Ching, Tyler",JR-3,5:11.50,Dutch Athletic Classic,"Jan 17, 2025"
,"Ellwein, Jack",FR-1,5:29.13,Dutch Athletic Classic,"Jan 17, 2025"
