Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Goldstein, Sam",SR,12.61m,"41' 4.5""",Mid-West Conference Championship,"Feb 26, 2010",0.0
,"Yin, Rob",SR,11.99m,"39' 4""",UNI Dome Open,"Feb 19, 2010",0.0
,"Yin, Rob",SR,11.93m,"39' 1.75""",UNI Dome Open,"Feb 19, 2010",0.0
,"Yin, Rob",SR,11.72m,"38' 5.5""",UNI Dome Open,"Feb 19, 2010",0.0
,"Yin, Rob",SR,11.70m,"38' 4.75""",UNI Dome Open,"Feb 19, 2010",0.0
,"Hirakawa, Andy",SR,11.66m,"38' 3.25""",UNI Dome Open,"Feb 19, 2010",0.0
,"Yin, Rob",SR,11.65m,"38' 2.75""",Mid-West Conference Championship,"Feb 26, 2010",0.0
,"Hirakawa, Andy",SR,11.61m,"38' 1.25""",UNI Dome Open,"Feb 19, 2010",0.0
,"Yin, Rob",SR,11.58m,"38' 0""",UNI Dome Open,"Feb 19, 2010",0.0
,"Yin, Rob",SR,11.49m,"37' 8.5""",UNI Dome Open,"Feb 19, 2010",0.0
,"Hirakawa, Andy",SR,11.10m,"36' 5""",UNI Dome Open,"Feb 19, 2010",0.0
,"Hirakawa, Andy",SR,11.00m,"36' 1.25""",UNI Dome Open,"Feb 19, 2010",0.0
