Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Kolacia, Nate",SR-4,4:20.16,Point Final Qualifier,"Mar 5, 2016"
,"Kolacia, Nate",SR-4,4:22.06,Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Kolacia, Nate",SR-4,4:23.05,Wartburg Indoor Invite,"Feb 20, 2016"
,"Dalton, Adam",SR-4,4:32.86,Wartburg Indoor Invite,"Feb 20, 2016"
,"Baumann, Joel",SO-2,4:33.13,Wartburg Indoor Invite,"Feb 20, 2016"
,"Baumann, Joel",SO-2,4:33.68,Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Kolacia, Nate",SR-4,4:35.41,Grinnell Indoor Invitational,"Feb 6, 2016"
,"Lennon, John",SO-2,4:35.87,Grinnell Indoor Invitational,"Feb 6, 2016"
,"Jensen, Joshua",FR-1,4:36.19,Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Jensen, Joshua",FR-1,4:37.67,Wartburg Indoor Invite,"Feb 20, 2016"
,"Baumann, Joel",SO-2,4:38.37,Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
,"Lennon, John",FR-1,4:39.09,Wartburg Indoor Invite,"Feb 20, 2016"
,"Crail, Nathaniel",FR-1,4:40.34,Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
,"Jensen, Joshua",FR-1,4:41.08,Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
,"Dalton, Adam",SR-4,4:42.20,2016 Hilltop Invitational,"Jan 30, 2016"
,"Jensen, Joshua",SO-2,4:43.77,2016 Hilltop Invitational,"Jan 30, 2016"
,"Baumann, Joel",JR-3,4:46.00,2016 Hilltop Invitational,"Jan 30, 2016"
,"Anderson, Kevin",JR-3,4:50.47,Grinnell Indoor Invitational,"Feb 6, 2016"
,"Murphy, Matthew",JR-3,4:51.01,Grinnell Indoor Invitational,"Feb 6, 2016"
,"Malone, Ian",SO-2,4:51.23,Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
,"O'Reilly, Sean",SO-2,4:56.63,Grinnell Indoor Invitational,"Feb 6, 2016"
,"O'Reilly, Sean",FR-1,4:56.83,Wartburg Indoor Invite,"Feb 20, 2016"
,"O'Reilly, Sean",FR-1,4:58.68,Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
,"Mundell, Lex",SR-4,5:04.16,2016 Hilltop Invitational,"Jan 30, 2016"
,"Margida, Greg",SR-4,5:18.71,Grinnell Indoor Invitational,"Feb 6, 2016"
,"Kane, Phillip",JR-3,5:30.70,Grinnell Indoor Invitational,"Feb 6, 2016"
,"Cernek, Stephan",SO-2,5:33.94,Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
