Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Lieberman, Matthew",JR-3,8:51.75,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Harvey, Ben",SO-2,8:53.00,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Lieberman, Matthew",JR-3,8:59.48,Darren Young Classic,"Feb 15, 2020"
,"Harvey, Ben",SO-2,9:15.78,Hilltop Invitational,"Jan 25, 2020"
,"Osler, John",SR-4,9:21.09,Darren Young Classic,"Feb 15, 2020"
,"Phipps, Matthew",SR-4,9:24.41,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Osler, John",SR-4,9:28.43,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Osler, John",SR-4,9:30.83,Liz Wuertz Indoor Invitational,"Feb 22, 2020"
,"Phipps, Matthew",SR-4,9:31.36,Darren Young Classic,"Feb 15, 2020"
,"Lieberman, Matthew",JR-3,9:38.82,Dutch Athletic Classic 2020,"Jan 18, 2020"
,"Phipps, Matthew",SR-4,9:38.88,Hilltop Invitational,"Jan 25, 2020"
,"Osler, John",SR-4,9:42.61,Dutch Athletic Classic 2020,"Jan 18, 2020"
,"Skidmore, Spencer",FR-1,9:49.66,Hilltop Invitational,"Jan 25, 2020"
,"George, Andrew",JR-3,10:24.36,Dutch Athletic Classic 2020,"Jan 18, 2020"
,"Applegate, Samuel",FR-1,11:45.06,2020 Grinnell Indoor Invitational,"Feb 1, 2020"
