Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Goodell, Brian",JR-3,15:08.75,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Ramsey, Bradley",JR-3,15:11.45,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Goodell, Brian",JR-3,15:18.68,Darren Young Classic,"Feb 11, 2023"
,"Goodell, Brian",JR-3,15:44.81,Grinnell Invitational,"Jan 28, 2023"
,"Miller, John",FR-1,15:58.02,Darren Young Classic,"Feb 11, 2023"
,"Miller, John",FR-1,15:58.69,Grinnell Invitational,"Jan 28, 2023"
,"Ramsey, Bradley",JR-3,15:59.32,Grinnell Invitational,"Jan 28, 2023"
,"Miller, John",FR-1,16:12.30,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Ramsey, Bradley",JR-3,16:14.81,Darren Young Classic,"Feb 11, 2023"
,"Krysan, Mark",SO-2,16:34.02,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Krysan, Mark",SO-2,17:11.92,Grinnell Invitational,"Jan 28, 2023"
