Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Harvey, Ben",SR-4,4:04.81,Midwest Conference Outdoor Championship,"May 13, 2022"
,"Harvey, Ben",SR-4,4:04.87,2022 Kip Janvrin Open,"Apr 28, 2022"
,"Nickeson, Andrew",JR-3,4:05.19,Midwest Conference Outdoor Championship,"May 13, 2022"
,"Nickeson, Andrew",JR-3,4:07.23,Dick Young Invitational,"Apr 23, 2022"
,"Nickeson, Andrew",JR-3,4:07.66,Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Harvey, Ben",SR-4,4:08.09,Mustang Open,"Apr 9, 2022"
,"Harvey, Ben",SR-4,4:10.99,Augustana College Twilight Qualifier,"May 19, 2022"
,"Harvey, Ben",SR-4,4:11.31,Dick Young Invitational,"Apr 23, 2022"
,"Brotman, Eli",FR-1,4:18.15,Dick Young Invitational,"Apr 23, 2022"
,"Snyder, Daniel",SR-4,4:23.69,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Ramsey, Bradley",SO-2,4:24.59,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Williams, Carter",FR-1,4:25.69,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Ramsey, Bradley",SO-2,4:27.39,Mustang Open,"Apr 9, 2022"
,"Cantor, Micah",SO-2,4:28.05,Mustang Open,"Apr 9, 2022"
,"Williams, Carter",FR-1,4:29.67,Mustang Open,"Apr 9, 2022"
,"Williams, Carter",FR-1,4:29.99,2022 Kip Janvrin Open,"Apr 28, 2022"
,"Boev, Ryan",FR-1,4:30.41,Mustang Open,"Apr 9, 2022"
,"Krysan, Mark",FR-1,4:33.49,Mustang Open,"Apr 9, 2022"
,"Cantor, Micah",SO-2,4:36.59,Cornell College Invitational,"Apr 2, 2022"
,"Snyder, Daniel",SR-4,4:39.39,Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Short, Ben",SO-2,4:40.93,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Rowekamp, Sam",SR-4,4:45.62,2022 Kip Janvrin Open,"Apr 28, 2022"
,"Rowekamp, Sam",SR-4,4:47.72,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Rowekamp, Sam",SR-4,4:48.97,Midwest Conference Outdoor Championship,"May 13, 2022"
,"Short, Ben",SO-2,4:51.31,Mustang Open,"Apr 9, 2022"
,"Rowekamp, Sam",SR-4,4:52.87,Cornell College Invitational,"Apr 2, 2022"
,"Rowekamp, Sam",SR-4,5:00.82,Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Israni, Neil",SR-4,5:27.37,Midwest Conference Outdoor Championship,"May 13, 2022"
,"Israni, Neil",SR-4,5:30.97,2022 Kip Janvrin Open,"Apr 28, 2022"
,"Israni, Neil",SR-4,5:39.42,Mustang Open,"Apr 9, 2022"
