Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Robinson, Luke",SO-2,4:14.47 #,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Heagy, Connor",SO-2,4:15.99 #,Wartburg Qualifier,"Mar 1, 2024"
,"Goodell, Brian",SR-4,4:21.57 #,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Snyder, James",SO-2,4:31.95 #,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Hill, Ryan",FR-1,4:36.58 #,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Williams, Carter",JR-3,4:41.12 #,Darren Young Classic,"Feb 10, 2024"
,"Chestovich, Andy",SO-2,4:41.68 #,Luther Invitational,"Feb 3, 2024"
,"Manza, Sebastian",FR-1,4:42.61 #,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Welch-Groves, Cameron",SO-2,4:43.67 #,Hilltop Invitational,"Jan 20, 2024"
,"Beck, Sam",FR-1,4:46.85 #,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Ching, Tyler",SO-2,4:54.22 #,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Turner, Ezra",SO-2,5:16.26 #,Darren Young Classic,"Feb 10, 2024"
