Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Burnell, Sarah",SO-2,4:43.84,Midwest Conference Championships,"May 11, 2012"
,"Burnell, Sarah",SO-2,4:44.82,Dick Young Classic,"Apr 21, 2012"
,"Rudy, Meg",SO-2,5:03.24,Midwest Conference Championships,"May 11, 2012"
,"Rudy, Meg",SO-2,5:08.65,Loras Open,"Apr 28, 2012"
,"Rudy, Meg",SO-2,5:12.04,Dick Young Classic,"Apr 21, 2012"
,"Bisignano, Catherine",JR-3,5:17.02,Dick Young Classic,"Apr 21, 2012"
,"Bisignano, Catherine",JR-3,5:20.33,Cornell Invitational,"Apr 14, 2012"
,"Tempest, Annie",JR-3,5:24.85,Cornell Invitational,"Apr 14, 2012"
,"Tempest, Annie",JR-3,5:25.06,Dick Young Classic,"Apr 21, 2012"
,"Rudy, Meg",SO-2,5:25.72,Fighting Scots Outdoor Invitational,"May 5, 2012"
,"Brosius, Daria",FR-1,5:26.09,Cornell Invitational,"Apr 14, 2012"
,"Vautin, Jacqueline",SO-2,5:35.02,Fighting Scots Outdoor Invitational,"May 5, 2012"
,"Bisignano, Catherine",JR-3,5:35.32,Midwest Conference Championships,"May 11, 2012"
,"Piet, Jolyne",FR-1,5:36.84,Cornell Invitational,"Apr 14, 2012"
,"Stuchiner, Emily",FR-1,5:49.85,Dick Young Classic,"Apr 21, 2012"
,"Boydston, Emily",JR-3,6:08.85,Cornell Invitational,"Apr 14, 2012"
