Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Miller, Isabelle",SR-4,1:04.72,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Miller, Isabelle",SR-4,1:05.92,2013 Monmouth Fighting Scots,"May 4, 2013"
,"Miller, Isabelle",SR-4,1:06.93,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Miller, Isabelle",SR-4,1:07.20,Kip Janvrin Open,"Apr 25, 2013"
,"Miller, Isabelle",SR-4,1:07.41,Central College Open,"Apr 20, 2013"
,"Miller, Isabelle",SR-4,1:08.10,Walt Disney World Invitational,"Mar 22, 2013"
,"Miller, Isabelle",SR-4,1:08.30,Cornell College Invitational,"Apr 6, 2013"
,"Miller, Isabelle",SR-4,1:08.90,2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Bresette-Buccino, Nora",FR-1,1:09.31,Kip Janvrin Open,"Apr 25, 2013"
,"Bresette-Buccino, Nora",FR-1,1:11.70,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Bresette-Buccino, Nora",FR-1,1:12.16,Walt Disney World Invitational,"Mar 22, 2013"
,"Bresette-Buccino, Nora",FR-1,1:12.63,Central College Open,"Apr 20, 2013"
,"Bresette-Buccino, Nora",FR-1,1:14.27,2013 Monmouth Fighting Scots,"May 4, 2013"
,"Bresette-Buccino, Nora",FR-1,1:15.24,Cornell College Invitational,"Apr 6, 2013"
,"Bresette-Buccino, Nora",FR-1,1:15.84,2013 Jim Duncan Invitational,"Apr 12, 2013"
