Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Young, Shannon",JR-3,4:46.84,16 Midwest Conference Championships,"May 13, 2016"
,"Androski, Antonia",SR-4,5:04.04,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Luhmann, Emma",SO-2,5:04.22,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Zimmerman, Emma",SO-2,5:07.67,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Ahrens, Anna",FR-1,5:10.74,16 Midwest Conference Championships,"May 13, 2016"
,"Campbell, Paulina",SR-4,5:11.63,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Kubica, Samantha",SR-4,5:22.19,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Arredondo, Nicole",FR-1,5:28.39,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Neems, Sophie",SR-4,5:58.90,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Frankel, Lauren",FR-1,6:15.71,2016 Kip Janvrin Open,"Apr 28, 2016"
