Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Schaefer, Emma",JR-3,5:26.88,Liz Wuertz Invite,"Feb 19, 2022"
,"Daney, Micaela",SR-4,5:33.65,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Diamond-Berman, Mira",FR-1,5:50.99,Hilltop Invitational,"Jan 22, 2022"
,"Mullen, Ginger",FR-1,5:53.99,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"LeBlanc, Megan",JR-3,5:57.08,Liz Wuertz Invite,"Feb 19, 2022"
,"Elliott-Rude, Eleanor",FR-1,5:58.95,Darren Young Invitational,"Feb 12, 2022"
,"Kaczmarczyk, Crystal",FR-1,6:01.95,Grinnell Invitational,"Jan 29, 2022"
,"Rabbani, Allison",FR-1,6:02.04,Darren Young Invitational,"Feb 12, 2022"
,"Ford, Sophia",FR-1,6:05.96,Luther College Invitational,"Feb 5, 2022"
,"Timmermans, Merel",SR-4,6:12.61,Luther College Invitational,"Feb 5, 2022"
,"Brew, Anna",SR-4,6:19.09,Liz Wuertz Invite,"Feb 19, 2022"
,"DonTigny, Emilie",FR-1,6:33.83,Liz Wuertz Invite,"Feb 19, 2022"
,"Smith, Abbie",SO-2,6:48.39,Darren Young Invitational,"Feb 12, 2022"
