Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Leonard, Millie",FR-1,10.20m,"33' 5.75""",Cornell Invitational,"Apr 6, 2024",1.2
,"Leonard, Millie",FR-1,10.17m,"33' 4.5""",Monmouth College Fighting Scots Invite,"May 4, 2024",2.0
,"Leonard, Millie",FR-1,9.96m,"32' 8.25""",Cornell Invitational,"Apr 6, 2024",-2.2
,"Leonard, Millie",FR-1,9.95m,"32' 7.75""",Cornell Invitational,"Apr 6, 2024",-2.1
,"Leonard, Millie",FR-1,9.93m,"32' 7""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.9
,"Leonard, Millie",FR-1,9.89m,"32' 5.5""",Midwest Conference Outdoor Championships,"May 10, 2024",1.4
,"Vollmayr-Lee, Mira",SO-2,9.68m,"31' 9.25""",Monmouth College Fighting Scots Invite,"May 4, 2024",1.4
,"Vollmayr-Lee, Mira",SO-2,8.98m,"29' 5.5""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.0
,"Vollmayr-Lee, Mira",SO-2,8.85m,"29' 0.5""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024",1.7
,"Vollmayr-Lee, Mira",SO-2,8.85m,"29' 0.5""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.3
,"Vollmayr-Lee, Mira",SO-2,8.82m,"28' 11.25""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.2
,"Vollmayr-Lee, Mira",SO-2,8.40m,"27' 6.75""",Cornell Invitational,"Apr 6, 2024",-1.1
,"Vollmayr-Lee, Mira",SO-2,7.77m,"25' 6""",Cornell Invitational,"Apr 6, 2024",-2.6
