Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Holtzman, Gwen",JR-3,1:09.40,Monmouth College Fighting Scots Outdoor Invitational,"May 5, 2018"
,"Holtzman, Gwen",JR-3,1:09.99,Midwest Conference Outdoor Championships,"May 11, 2018"
,"Soderberg, Midori",FR-1,1:11.00,Monmouth College Fighting Scots Outdoor Invitational,"May 5, 2018"
,"Holtzman, Gwen",JR-3,1:11.86,Midwest Conference Outdoor Championships,"May 11, 2018"
,"Holtzman, Gwen",JR-3,1:12.09,2018 Dick Young Invite,"Apr 21, 2018"
,"Soderberg, Midori",FR-1,1:12.11,Midwest Conference Outdoor Championships,"May 11, 2018"
,"Soderberg, Midori",FR-1,1:12.48,Mustang Open,"Apr 13, 2018"
,"Holtzman, Gwen",JR-3,1:12.48,Mustang Open,"Apr 13, 2018"
,"Soderberg, Midori",FR-1,1:12.56,Emory Classic,"Mar 30, 2018"
,"Holtzman, Gwen",JR-3,1:12.76,Emory Classic,"Mar 30, 2018"
,"Holtzman, Gwen",JR-3,1:12.86,2018 Kip Janvrin Open,"Apr 26, 2018"
,"Holtzman, Gwen",JR-3,1:12.88,Cornell Invitational,"Apr 4, 2018"
,"Soderberg, Midori",FR-1,1:13.58,2018 Kip Janvrin Open,"Apr 26, 2018"
,"Soderberg, Midori",FR-1,1:13.98,2018 Dick Young Invite,"Apr 21, 2018"
,"Soderberg, Midori",FR-1,1:15.61,Cornell Invitational,"Apr 4, 2018"
