Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Olowu, Paige",SR-4,5.34m,"17' 6.25""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021",NWI
,"Olowu, Paige",SR-4,5.30m,"17' 4.75""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021",NWI
,"Olowu, Paige",SR-4,5.20m,"17' 0.75""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021",NWI
,"Olowu, Paige",SR-4,5.20m,"17' 0.75""",Darren Young Invitational,"Feb 12, 2022",NWI
,"Olowu, Paige",SR-4,5.17m,"16' 11.5""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Olowu, Paige",SR-4,5.17m,"16' 11.5""",Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Olowu, Paige",SR-4,5.15m,"16' 10.75""",Darren Young Invitational,"Feb 12, 2022",NWI
,"Olowu, Paige",SR-4,5.14m,"16' 10.5""",Darren Young Invitational,"Feb 12, 2022",NWI
,"Olowu, Paige",SR-4,5.13m,"16' 10""",Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Olowu, Paige",SR-4,5.12m,"16' 9.75""",Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Olowu, Paige",SR-4,5.11m,"16' 9.25""",Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Olowu, Paige",SR-4,5.08m,"16' 8""",Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Olowu, Paige",SR-4,5.08m,"16' 8""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021",NWI
,"Olowu, Paige",SR-4,5.00m,"16' 5""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Olowu, Paige",SR-4,4.98m,"16' 4.25""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Olowu, Paige",SR-4,4.94m,"16' 2.5""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Olowu, Paige",SR-4,4.93m,"16' 2.25""",Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Olowu, Paige",SR-4,4.92m,"16' 1.75""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Olowu, Paige",SR-4,4.83m,"15' 10.25""",Darren Young Invitational,"Feb 12, 2022",NWI
,"Olowu, Paige",SR-4,4.80m,"15' 9""",Darren Young Invitational,"Feb 12, 2022",NWI
,"Olowu, Paige",SR-4,4.78m,"15' 8.25""",Hilltop Invitational,"Jan 22, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.71m,"15' 5.5""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.70m,"15' 5""",Luther College Invitational,"Feb 5, 2022",NWI
,"Olowu, Paige",SR-4,4.64m,"15' 2.75""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.64m,"15' 2.75""",Grinnell Invitational,"Jan 29, 2022",NWI
,"Olowu, Paige",SR-4,4.62m,"15' 2""",Hilltop Invitational,"Jan 22, 2022",NWI
,"Oden, Melanie",FR-1,4.60m,"15' 1.25""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.57m,"15' 0""",Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Oden, Melanie",FR-1,4.56m,"14' 11.5""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.55m,"14' 11.25""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.55m,"14' 11.25""",Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.54m,"14' 10.75""",Grinnell Invitational,"Jan 29, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.52m,"14' 10""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Oden, Melanie",FR-1,4.49m,"14' 8.75""",Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.46m,"14' 7.75""",Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.46m,"14' 7.75""",Luther College Invitational,"Feb 5, 2022",NWI
,"Olowu, Paige",SR-4,4.45m,"14' 7.25""",Hilltop Invitational,"Jan 22, 2022",NWI
,"Oden, Melanie",FR-1,4.40m,"14' 5.25""",Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.40m,"14' 5.25""",Grinnell Invitational,"Jan 29, 2022",NWI
,"Oden, Melanie",FR-1,4.40m,"14' 5.25""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.40m,"14' 5.25""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.39m,"14' 5""",Grinnell Invitational,"Jan 29, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.38m,"14' 4.5""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Oden, Melanie",FR-1,4.30m,"14' 1.25""",Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Oden, Melanie",FR-1,4.27m,"14' 0.25""",Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Elliott-Rude, Eleanor",FR-1,4.24m,"13' 11""",Luther College Invitational,"Feb 5, 2022",NWI
,"Oden, Melanie",FR-1,4.24m,"13' 11""",Liz Wuertz Invite,"Feb 19, 2022",NWI
