Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Reid, Sam",FR-1,2:31.71,Liz Wuertz Invite,"Feb 19, 2022"
,"Daney, Micaela",SR-4,2:32.26,Liz Wuertz Invite,"Feb 19, 2022"
,"Elliott-Rude, Eleanor",FR-1,2:38.90,Liz Wuertz Invite,"Feb 19, 2022"
,"Kaczmarczyk, Crystal",FR-1,2:39.35,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Rabbani, Allison",FR-1,2:39.48,Liz Wuertz Invite,"Feb 19, 2022"
,"Klassen, Kylie",FR-1,2:43.65,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"DonTigny, Emilie",FR-1,2:46.04,Darren Young Invitational,"Feb 12, 2022"
,"Mullen, Ginger",FR-1,2:46.24,Grinnell Invitational,"Jan 29, 2022"
,"Timmermans, Merel",SR-4,2:52.25,Grinnell Invitational,"Jan 29, 2022"
,"Brew, Anna",SR-4,2:52.54,Hilltop Invitational,"Jan 22, 2022"
,"Smith, Abbie",SO-2,3:09.11,Grinnell Invitational,"Jan 29, 2022"
