Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Miyamoto, Keely",FR-1,10:18.91,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Miyamoto, Keely",FR-1,10:52.50,Hilltop Invitational,"Jan 21, 2023"
,"Schaefer, Emma",SR-4,10:58.34,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Schaefer, Emma",SR-4,11:07.20,Grinnell Invitational,"Jan 28, 2023"
,"Roark, Hannah",FR-1,11:07.83,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Schaefer, Emma",SR-4,11:12.71,Hilltop Invitational,"Jan 21, 2023"
,"Diamond-Berman, Mira",SO-2,11:15.21,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Karow, Morgan",FR-1,11:20.53,Darren Young Classic,"Feb 11, 2023"
,"Barba, Diana",FR-1,11:21.62,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Miyamoto, Keely",FR-1,11:23.95,Grinnell Opener,"Dec 9, 2022"
,"Roark, Hannah",FR-1,11:28.05,Hilltop Invitational,"Jan 21, 2023"
,"Karow, Morgan",FR-1,11:29.46,Grinnell Invitational,"Jan 28, 2023"
,"Diamond-Berman, Mira",SO-2,11:31.62,Hilltop Invitational,"Jan 21, 2023"
,"Torrence, Sarah",SR-4,11:43.01,Hilltop Invitational,"Jan 21, 2023"
,"Torrence, Sarah",SR-4,11:45.11,Luther Invitational,"Feb 4, 2023"
,"Kaczmarczyk, Crystal",SO-2,11:48.68,Hilltop Invitational,"Jan 21, 2023"
,"Ford, Sophia",SO-2,11:58.36,Hilltop Invitational,"Jan 21, 2023"
