Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Carchidi, Eva",SR-4,7.86,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Voinescu, Isa",SO-2,8.11,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Leonard, Millie",FR-1,8.62,2023 Grinnell Opener,"Dec 1, 2023"
,"Goodman, Jessie",SO-2,8.66,2023 Grinnell Opener,"Dec 1, 2023"
,"Phillips, KaLanna",FR-1,8.71,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Taylor, Ava",JR-3,8.75,Hilltop Invitational,"Jan 20, 2024"
,"Thompson, Klaire",FR-1,8.94,2023 Grinnell Opener,"Dec 1, 2023"
,"Strovers, Maddy",SO-2,9.33,2023 Grinnell Opener,"Dec 1, 2023"
,"Smith, Kylie-Ann",FR-1,9.37,2023 Grinnell Opener,"Dec 1, 2023"
,"Natalie, Alexandra",SO-2,9.62,2023 Grinnell Opener,"Dec 1, 2023"
