""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,John Ahmann,,-,,/
,David Bloom,,-,,/
,Landon Boyer,,-,,/
,Ara Bulbulian,,-,,/
,Rodd Casper,,-,,/
,Cory Conover,,-,,/
,Armando Gilkes,,-,,/
,Chris Gingerich,,-,,/
,Ceaser Gonzalez,,-,,/
,Marty Grin,,-,,/
,J. Hawkinson,,-,,/
,Kevin Khater,,-,,/
,Lee Kraemer,,-,,/
,Art Lopez,,-,Fr.,/
,Ray Luna,,-,,/
,Shannon Lyons,,-,,/
,Joe McCarthy,,-,,/
,Todd McGuire,,-,,/
,Ty McGuire,,-,,/
,Kevin McIntyre,,-,,/
,Jon Minkoff,,-,,/
,Matt Mullen,,-,,/
,Sean O'Brien,,-,,/
,Neil Olson,,-,,/
,Jason Paschall,,-,,/
,Mark Patton,,-,,/
,Bob Reason,,-,,/
,Steve Sandquist,,-,,/
,Jeff Shook,,-,,/
,Ted Stanley,,-,,/
,Adam White,,-,,/
,N. Williamson,,-,,/
,Haywood Wilson,,-,,/
,Jeff Wirtz,,-,,/
,Chris Wolfgram,,-,,/
,Todd Young,,-,,/
