""
IMAGE,NO.,NAME,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Henry Baird,QB,6-1,218,Sr.,"Apex, N.C. / Garner"
,3,Danny Quirk,LB,5-11,200,Sr.,"Lombard, Ill. / Glenbard East"
,6,CJ Readon,DB,5-8,170,So.,"Fort Lauderdale, Fla. / Pine Crest School"
,7,Kevin Johanson,DB,5-7,170,Jr.,"Glendale, Ariz. / Greenway"
,8,Hays Marionneaux,DB,5-9,175,Fr.,"Baton Rouge, La. / St. Michael the Archangel High School"
,9,Jake Warren,DB,5-11,160,Fr.,"San Diego, Calif. / Del Norte"
,9,Garrett Wilson,WR,6-0,185,Sr.,"Anniston, Ala. / White Plains"
,10,Jack Reed,WR,6-3,190,So.,"Richardson, Texas / Greenhill School"
,11,Matthew Johanson,WR,6-1,200,Fr.,"Glendale, Ariz. / Greenway"
,12,Bert Greene,LB,5-9,210,Jr.,"Wellesley Hills, Mass. / Belmont Hill School"
,13,Raiden Neidert,WR,5-11,176,Fr.,"La Plata, Md. / Maret School"
,14,Brandon Tennicott,DB,6-0,170,Jr.,"Brookfield, Ill. / Riverside-Brookfield"
,15,Noah Smith,WR,5-9,165,So.,"Independence, Mo. / Truman"
,16,Will Cloake,QB,6-3,190,So.,"Riverside, Calif. / Riverside Poly"
,17,Bennett Destino,RB,5-8,165,So.,"Orinda, Calif. / Miramonte"
,18,Ajay Griffin,DB,5-11,160,So.,"San Jose, Calif. / Saint Francis"
,19,Nick Rhinehart,WR,5-8,155,Sr.,"Bonham, Texas / Bonham"
,20,Lucky Carton,RB,5-10,170,So.,"Chester, N.J. / West Morris Mendham"
,21,Hunter Jackson,DB,6-0,195,So.,"Vacaville, Calif. / Christian Academy"
,22,Hugh Werner,LB,5-11,180,Sr.,"Wheaton, Ill. / Wheaton North"
,23,Seth Semmen,TE,6-1,200,Jr.,"Lanesboro, Minn. / Lanesboro"
,25,Keaton Fitzgerald,DB,6-1,195,Jr.,"North Hollywood, Calif. / Notre Dame"
,26,Sam Eaton,RB,5-9,165,So.,"Galena, Ill. / Galena"
,29,Noah Davidoff,P/K,5-10,178,Fr.,"Boulder, Colo. / Fairview"
,31,Javi Rodriguez,DB,5-9,165,Fr.,"Oak Park, Ill. / Oak Park River Forest"
,32,Will Reyes,LB,5-9,180,Sr.,"Elk Grove, Calif. / Monterey Trail"
,33,Evan Stoller,WR,6-1,185,So.,"Greensboro, N.C. / Bishop McGuinness"
,34,Ty Leonard,WR,5-11,170,Fr.,"Manitou Springs, Colo. / Coronado"
,35,Adrian Stubbs,LB,5-11,205,Fr.,"Lakeview, Ore. / Lakeview"
,36,Charlie Greene,TE,6-2,225,Fr.,"Minneapolis, Minn. / Edina"
,41,Marcus Sung,RB,5-11,220,Fr.,"Irvine, Calif. / Portola"
,42,Luke Walters,DL,5-9,195,Jr.,"Chicago, Ill. / DePaul College Prep"
,44,Juniper Schwartzman,P/K,5-11,175,So.,"Galesburg, Ill. / Galesburg"
,45,Alex Smith,DL,6-1,215,So.,"Bloomfield Hills, Mich. / Cranbrook Kingswood School"
,46,Casey Oliveira,DB,6-1,165,So.,"San Carlos, Calif. / Carlmont"
,52,Ty Jones,DL,6-0,200,Jr.,"Stamford, Conn. / Rye Country Day School-Upper School"
,54,Adam Whalen,DL,6-1,230,Fr.,"Grand Rapids, Mich. / Catholic Central"
,55,TJ Lawrence,DL,5-10,205,Sr.,"Saint Peters, Mo. / Lutheran High School of St. Charles County"
,56,Mike Elvin,DL,5-9,190,So.,"Chesterfield, Mo. / MICDS"
,57,Cash Hardy,OL,6-0,250,Fr.,"San Clemente, Calif. / San Juan Hills"
,58,Michael Olufade,DL,6-2,217,Fr.,"Beltsville, Md. / High Point"
,59,Peyton Williams,LB,5-11,205,So.,"Waxhaw, N.C. / Cuthbertson"
,62,Sam Norris,OL,5-10,225,Fr.,"Des Moines, Iowa / Roosevelt"
,64,Rory Leonard,OL,5-11,285,Fr.,"Seattle, Wash. / Seattle Academy of Arts and Sciences"
,65,Miles Cornforth,OL,6-1,240,Sr.,"San Jose, Calif. / Willow Glen Educational Park North Campus"
,66,Shawan Singh,OL,6-1,270,Fr.,"Keyport, N.J. / Keyport"
,70,Ricky Eastern,OL,6-0,265,Fr.,"Swansea, Ill. / Althoff Catholic"
,72,Logan Sanchez,OL,5-11,280,Fr.,"Hanford, Calif. / Sierra Pacific"
,74,Colby Stebbins,OL,6-1,327,So.,"Yardley, Pa. / Archbishop Wood"
,76,Joshua Clark,OL,6-2,230,Jr.,"St. Louis, Mo. / John Burroughs School"
,77,Tyrell Taylor,OL,6-4,330,Sr.,"Des Moines, Iowa / Roosevelt"
,80,Chris Reiter,WR,5-10,160,So.,"Seymour, Conn. / Hamden Hall Country Day"
,82,Devon Cuddihy,WR,6-0,177,Fr.,"New York, N.Y. / Avenues New York"
,84,Ryan Spangler,DB,6-4,185,So.,"Edina, Minn. / St. Paul Academy Summit School"
,85,Rene Urias Jr.,TE,5-8,240,Sr.,"Rio Rico, Ariz. / Nogales"
,86,Ben Cerrato,WR,5-9,190,Sr.,"Exeter, N.H. / Exeter Area"
,88,Bradley West,TE,5-8,210,So.,"Loomis, Calif. / Del Oro"
,90,Andrew Kozhaya,LB,5-8,265,Sr.,"Downey, Calif. / Loyola"
,92,Breck Bishop,DL,6-1,210,Jr.,"Ferndale, Calif. / Fortuna Union"
,98,Travis Chu,DL,6-2,260,Sr.,"Brooklyn, N.Y. / Polytech Prep Country Day School"
