""
IMAGE,NAME,CAPTAIN,YR.,HOMETOWN / HIGH SCHOOL
,Samuel Applegate,,Fr.,"Madison, Conn. / Hamden Hall Country Day School"
,Alex Austen,,Fr.,"Aromas, Calif. / Aptos"
,Jackson Breshears,,Jr.,"Tucson, Ariz. / Salpointe Catholic"
,Lucas Chamberland,,Jr.,"Grinnell, Iowa / Grinnell"
,Sam Eagen,,So.,"Versailles, Ky. / Woodford County"
,Brad Geiman,,Jr.,"Alexandria, Ky. / Campbell County"
,Andrew George,,Jr.,"St. Paul, Minn. / Mounds Park Academy"
,Aiden Gilbert,,Fr.,"Laguna Niguel, Calif. / Crean Lutheran"
,Tim Gilmour,,Jr.,"Falls Church, Va. / George Mason"
,Justin Gregor,,Sr.,"New Prague, Minn. / New Prague"
,Ben Harvey,,So.,"Elk River, Minn. / Spectrum"
,Paul Hill,,Fr.,"New York, N.Y. / Asheville School"
,Alex Hiser,,Fr.,"Lexington, Mass. / Lexington"
,David Hudson,,Fr.,"Brooklyn, N.Y. / Brooklyn Secondary School for Collaborative Studies"
,Ethan Huelskamp,,Sr.,"Saint Henry, Ohio / Saint Henry"
,Neil Israni,,Fr.,"Bangalore, India / Mallya Aditi International School"
,Tommy Jacobs,,So.,"LaGrange, Ill. / Mount Carmel"
,Noah Jacobson,,Sr.,"Portland, Ore. / Riverdale"
,Martin Ketcha,,Fr.,"Takoma Park, Md. / Montgomery Blair"
,Dean Khazanov,,So.,"Sherman Oaks, Calif. / Daniel Pearl Magnet School"
,George Kosinski,,Fr.,"Hamden, Conn. / Hopkins School"
,Matt Lieberman,,Jr.,"Ann Arbor, Mich. / Pioneer"
,Carter Markegard,,Jr.,"Minneapolis, Minn. / Southwest"
,Nicky Midlash,,Jr.,"Hinsdale, Ill. / Hinsdale Central"
,Chris Moppel,,So.,"Dayton, Ohio / Home School"
,Andrew Nickeson,,Fr.,"Lincoln, Neb. / Lincoln Southwest"
,Declan O'Reilly,,Jr.,"Wilmette, Ill. / New Trier Township"
,John Osler,,Sr.,"Minneapolis, Minn. / Edina"
,Matthew Phipps,,Sr.,"White River Junction, Vt. / Hartford"
,Quinn Renaud,,So.,"Riverside, Calif. / La Sierra"
,Theo Richter,,Fr.,"Providence, R.I. / Wheeler School"
,Dan Snyder,,So.,"Statesville, N.C. / Forsyth Country Day School"
,Kyler Walcher,,Fr.,"Decatur, Ill. / Lutheran School Association"
,Zach Willis,,So.,"Olympia, Wash. / Capital"
,Olek Yardas,,Sr.,Washington D.C. / The Field School
