""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Kaylin Kuhn,,OH,5-10,Fr.,"Bettendorf, Iowa / Bettendorf"
,2,Sonia Chulaki,,DS,5-6,Jr.,"Springfield, Va. / West Springfield"
,5,Madison Smith,,DS,5-4,So.,"Ballwin, Mo. / John Burroughs School"
,6,Isabel Ambrosoli,,S,6-0,Fr.,"Acton, Mass. / Acton-Boxborough"
,7,Margaret Giles,,S,5-11,Sr.,"Charlottesville, Va. / Saint Anne's-Belfield"
,9,Sydney Vrecenar,,OH,5-7,Sr.,"Colorado Springs, Colo. / William J. Palmer"
,11,Olivia Jensen,,MB,6-0,Fr.,"Lino Lakes, Minn. / Centennial"
,12,Sophia Carbajal,,MB,5-11,Fr.,"Cave Creek, Ariz. / Paradise Valley Christian Prep"
,13,Alissa Johnson,,OH,5-10,So.,Paris / Shanghai Community International School Hongqiao
,14,Hannah Taylor,,OH,6-1,Fr.,"Colorado Springs, Colo. / Colorado Springs"
,19,Nora Hill,,OH/RS,5-10,Jr.,"Jericho, Vt. / Vermont Commons School"
,22,Deanna Taylor,,DS,5-7,Sr.,"Seattle, Wash. / University Prep Academy"
,23,Emma Willhardt,,MB,6-2,Jr.,"Monmouth, Ill. / Monmouth"
,,Emma Olson,,Mgr.,-,,/
